npayCd,npayKorNm,npayLcdNm,npayMcdNm
1051A,주사료,,
KZ0010000,주사료/알레르겐 면역요법,,
1991C,예방접종료,,
1991C010,예방접종료/대상포진,,
3Z5200301,예방접종료/대상포진/스카이조스터주,,
3Z5200302,예방접종료/대상포진/조스타박스주,,
3Z5200303,예방접종료/대상포진/싱그릭스주,,
1991C020,예방접종료/수두,,
3Z5200701,예방접종료/수두/바리-엘백신,,
3Z5200702,예방접종료/수두/스카이바리셀라주,,
3Z5200703,예방접종료/수두/수두박스주,,
3Z5200704,예방접종료/수두/배리셀라주,,
1991C030,예방접종료/수막구균,,
3Z5200801,예방접종료/수막구균/멘비오,,
3Z5200802,예방접종료/수막구균/메낙트라주,,
3Z5200803,예방접종료/수막구균/벡세로프리필드시린지,,
1991C040,예방접종료/신증후군출혈열,,
3Z5200901,예방접종료/신증후군출혈열/한타박스주 0.5ml,,
1991C050,예방접종료/사람유두종바이러스 감염증(HPV 백신),,
3Z5201001,예방접종료/사람유두종바이러스 감염증(HPV 백신)/서바릭스프리필드시린지,,
3Z5201002,예방접종료/사람유두종바이러스 감염증(HPV 백신)/가다실 프리필드시린지,,
3Z5201003,예방접종료/사람유두종바이러스 감염증(HPV 백신)/가다실9프리필드시린지,,
3Z5201004,예방접종료/사람유두종바이러스 감염증(HPV 백신)/가다실 주,,
3Z5201005,예방접종료/사람유두종바이러스 감염증(HPV 백신)/가다실9주,,
1991C060,예방접종료/인플루엔자(독감),,
3Z5201101,예방접종료/인플루엔자(독감)/스카이셀플루4가프리필드시린지,,
3Z5201102,예방접종료/인플루엔자(독감)/테라텍트프리필드시린지주,,
3Z5201103,예방접종료/인플루엔자(독감)/비알플루텍I테트라백신주,,
3Z5201106,예방접종료/인플루엔자(독감)/지씨플루쿼드리밸런트프리필드시린지주,,
3Z5201107,예방접종료/인플루엔자(독감)/코박스플루4가PF주,,
3Z5201108,예방접종료/인플루엔자(독감)/코박스인플루4가PF주,,
3Z5201109,예방접종료/인플루엔자(독감)/플루아릭스테트라프리필드시린지,,
3Z5201110,예방접종료/인플루엔자(독감)/박씨그리프테트라주,,
3Z5201111,예방접종료/인플루엔자(독감)/보령플루Ⅴ테트라백신주,,
3Z5201112,예방접종료/인플루엔자(독감)/보령플루Ⅷ테트라백신주,,
3Z5201114,예방접종료/인플루엔자(독감)/플루아드쿼드프리필드시린지,,
1991C070,예방접종료/일본뇌염,,
3Z5201201,예방접종료/일본뇌염/녹십자-세포배양일본뇌염백신주 0.4mL,,
3Z5201202,예방접종료/일본뇌염/녹십자-세포배양일본뇌염백신주 0.7mL,,
3Z5201203,예방접종료/일본뇌염/보령세포배양일본뇌염백신주 0.4mL,,
3Z5201204,예방접종료/일본뇌염/보령세포배양일본뇌염백신주 0.7mL,,
3Z5201301,예방접종료/일본뇌염/씨디.제박스,,
3Z5201302,예방접종료/일본뇌염/이모젭주,,
1991C080,예방접종료/장티푸스,,
3Z5201401,예방접종료/장티푸스/지로티프-주,,
3Z5201402,예방접종료/장티푸스/비보티프캡슐,,
1991C090,"예방접종료/Td(파상풍, 디프테리아)",,
3Z5201502,"예방접종료/Td(파상풍, 디프테리아)/녹십자티디백신프리필드시린지주",,
3Z5201504,"예방접종료/Td(파상풍, 디프테리아)/디티부스터주",,
1991C100,"예방접종료/Tdap(파상풍, 디프테리아, 백일해)",,
3Z5201601,"예방접종료/Tdap(파상풍, 디프테리아, 백일해)/부스트릭스프리필드시린지",,
3Z5201602,"예방접종료/Tdap(파상풍, 디프테리아, 백일해)/아다셀주",,
3Z5201603,"예방접종료/Tdap(파상풍, 디프테리아, 백일해)/아다셀프리필드시린지",,
1991C110,예방접종료/폐렴구균,,
3Z5201701,예방접종료/폐렴구균/프리베나13주,,
3Z5201702,예방접종료/폐렴구균/신플로릭스프리필드시린지,,
3Z5201703,예방접종료/폐렴구균/프로디악스-23,,
3Z5201704,예방접종료/폐렴구균/프로디악스-23프리필드시린지,,
3Z5201705,예방접종료/폐렴구균/박스뉴반스프리필드시린지,,
1991C120,예방접종료/홍역/유행성이하선염/풍진,,
3Z5201901,예방접종료/홍역/유행성이하선염/풍진/엠엠알II,,
3Z5201902,예방접종료/홍역/유행성이하선염/풍진/프리오릭스주,,
1991C130,예방접종료/A형간염,,
3Z5202001,예방접종료/A형간염/하브릭스주 0.5ml,,
3Z5202002,예방접종료/A형간염/하브릭스주 1.0ml,,
3Z5202005,예방접종료/A형간염/박타주 0.5ml,,
3Z5202006,예방접종료/A형간염/박타주 1.0mL,,
3Z5202007,예방접종료/A형간염/박타프리필드시린지 0.5ml,,
3Z5202008,예방접종료/A형간염/박타프리필드시린지 1.0ml,,
3Z5202009,예방접종료/A형간염/아박심80U소아용주,,
3Z5202010,예방접종료/A형간염/아박심160U성인용주,,
3Z5202011,예방접종료/A형간염/보령A형간염백신프리필드시린지주 0.5mL,,
3Z5202012,예방접종료/A형간염/보령A형간염백신프리필드시린지주 1.0mL,,
1991C140,예방접종료/B형간염,,
3Z5202104,예방접종료/B형간염/헤파뮨주 0.5mL,,
3Z5202105,예방접종료/B형간염/헤파뮨프리필드시린지 1.0mL,,
3Z5202106,예방접종료/B형간염/유박스비주 0.5mL,,
3Z5202107,예방접종료/B형간염/유박스비주 1.0mL,,
3Z5202108,예방접종료/B형간염/유박스비 프리필드주 1.0mL,,
3Z5202109,예방접종료/B형간염/헤파뮨주 1.0mL,,
1991C150,예방접종료/b형헤모필루스인플루엔자,,
3Z5202201,예방접종료/b형헤모필루스인플루엔자/유히브주,,